budget;genres;keywords;original_language;original_title;popularity;production_companies;release_date;revenue;status;vote_average;vote_count
270000000;"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]";"[{""id"": 83, ""name"": ""saving the world""}, {""id"": 849, ""name"": ""dc comics""}, {""id"": 8872, ""name"": ""invulnerability""}, {""id"": 9663, ""name"": ""sequel""}, {""id"": 9715, ""name"": ""superhero""}, {""id"": 9717, ""name"": ""based on comic book""}, {""id"": 163420, ""name"": ""kryptonite""}, {""id"": 163455, ""name"": ""super powers""}, {""id"": 179102, ""name"": ""superhuman strength""}, {""id"": 202526, ""name"": ""lex luthor""}]";en;Superman Returns;57.925623;"[{""name"": ""DC Comics"", ""id"": 429}, {""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Bad Hat Harry Productions"", ""id"": 9168}]";28/06/2006;391081192;Released;5.4;1400
200000000;"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]";"[{""id"": 627, ""name"": ""killing""}, {""id"": 1568, ""name"": ""undercover""}, {""id"": 4289, ""name"": ""secret agent""}, {""id"": 156095, ""name"": ""british secret service""}]";en;Quantum of Solace;107.928811;"[{""name"": ""Eon Productions"", ""id"": 7576}]";30/10/2008;586090727;Released;6.1;2965
200000000;"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]";"[{""id"": 616, ""name"": ""witch""}, {""id"": 663, ""name"": ""fortune teller""}, {""id"": 910, ""name"": ""bondage""}, {""id"": 911, ""name"": ""exotic island""}, {""id"": 1299, ""name"": ""monster""}, {""id"": 1316, ""name"": ""captain""}, {""id"": 1317, ""name"": ""card game""}, {""id"": 1319, ""name"": ""east india trading company""}, {""id"": 1461, ""name"": ""compass""}, {""id"": 3799, ""name"": ""ship""}, {""id"": 5600, ""name"": ""daughter""}, {""id"": 12988, ""name"": ""pirate""}, {""id"": 157186, ""name"": ""swashbuckler""}, {""id"": 179430, ""name"": ""aftercreditsstinger""}]";en;Pirates of the Caribbean: Dead Man's Chest;145.847379;"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Jerry Bruckheimer Films"", ""id"": 130}, {""name"": ""Second Mate Productions"", ""id"": 19936}]";20/06/2006;1065659812;Released;7;5246
255000000;"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 37, ""name"": ""Western""}]";"[{""id"": 1556, ""name"": ""texas""}, {""id"": 2673, ""name"": ""horse""}, {""id"": 5385, ""name"": ""survivor""}, {""id"": 5901, ""name"": ""texas ranger""}, {""id"": 9104, ""name"": ""partner""}, {""id"": 9503, ""name"": ""outlaw""}, {""id"": 10685, ""name"": ""escape""}, {""id"": 10909, ""name"": ""lawyer""}, {""id"": 13008, ""name"": ""train""}, {""id"": 178867, ""name"": ""lone ranger""}, {""id"": 179419, ""name"": ""comanche""}, {""id"": 222787, ""name"": ""the lone ranger""}, {""id"": 228232, ""name"": ""tonto""}]";en;The Lone Ranger;49.046956;"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Jerry Bruckheimer Films"", ""id"": 130}, {""name"": ""Infinitum Nihil"", ""id"": 2691}, {""name"": ""Silver Bullet Productions (II)"", ""id"": 37380}, {""name"": ""Blind Wink Productions"", ""id"": 37381}, {""name"": ""Classic Media"", ""id"": 37382}]";03/07/2013;89289910;Released;5.9;2311
225000000;"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]";"[{""id"": 83, ""name"": ""saving the world""}, {""id"": 849, ""name"": ""dc comics""}, {""id"": 9715, ""name"": ""superhero""}, {""id"": 9717, ""name"": ""based on comic book""}, {""id"": 10761, ""name"": ""superhuman""}, {""id"": 14909, ""name"": ""alien invasion""}, {""id"": 161184, ""name"": ""reboot""}, {""id"": 163455, ""name"": ""super powers""}, {""id"": 229266, ""name"": ""dc extended universe""}]";en;Man of Steel;99.398009;"[{""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""DC Entertainment"", ""id"": 9993}, {""name"": ""Syncopy"", ""id"": 9996}, {""name"": ""Cruel and Unusual Films"", ""id"": 78685}]";12/06/2013;662845518;Released;6.5;6359
225000000;"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]";"[{""id"": 818, ""name"": ""based on novel""}, {""id"": 855, ""name"": ""fictional place""}, {""id"": 1155, ""name"": ""brother sister relationship""}, {""id"": 2043, ""name"": ""lion""}, {""id"": 3714, ""name"": ""human being""}, {""id"": 4391, ""name"": ""wretch""}, {""id"": 4820, ""name"": ""leap in time""}, {""id"": 5144, ""name"": ""matter of life and death""}, {""id"": 6150, ""name"": ""faith""}, {""id"": 6464, ""name"": ""uncle""}, {""id"": 166930, ""name"": ""narnia""}, {""id"": 170362, ""name"": ""fantasy world""}]";en;The Chronicles of Narnia: Prince Caspian;53.978602;"[{""name"": ""Walt Disney"", ""id"": 5888}, {""name"": ""Walden Media"", ""id"": 10221}, {""name"": ""Stillking Films"", ""id"": 11345}, {""name"": ""Ozumi Films"", ""id"": 11440}, {""name"": ""Propeler"", ""id"": 11441}, {""name"": ""Silverbell Films"", ""id"": 11442}, {""name"": ""Revolution Sun Studios"", ""id"": 76043}]";15/05/2008;419651413;Released;6.3;1630
220000000;"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]";"[{""id"": 242, ""name"": ""new york""}, {""id"": 5539, ""name"": ""shield""}, {""id"": 8828, ""name"": ""marvel comic""}, {""id"": 9715, ""name"": ""superhero""}, {""id"": 9717, ""name"": ""based on comic book""}, {""id"": 14909, ""name"": ""alien invasion""}, {""id"": 155030, ""name"": ""superhero team""}, {""id"": 179430, ""name"": ""aftercreditsstinger""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}, {""id"": 180547, ""name"": ""marvel cinematic universe""}]";en;The Avengers;144.448633;"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Marvel Studios"", ""id"": 420}]";25/04/2012;1519557910;Released;7.4;11776
380000000;"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}]";"[{""id"": 658, ""name"": ""sea""}, {""id"": 1316, ""name"": ""captain""}, {""id"": 1860, ""name"": ""mutiny""}, {""id"": 1938, ""name"": ""sword""}, {""id"": 2569, ""name"": ""prime minister""}, {""id"": 3180, ""name"": ""sailing""}, {""id"": 3625, ""name"": ""silver""}, {""id"": 3799, ""name"": ""ship""}, {""id"": 4235, ""name"": ""duke""}, {""id"": 5938, ""name"": ""mermaid""}, {""id"": 12988, ""name"": ""pirate""}, {""id"": 13065, ""name"": ""soldier""}, {""id"": 14643, ""name"": ""battle""}, {""id"": 157186, ""name"": ""swashbuckler""}, {""id"": 179430, ""name"": ""aftercreditsstinger""}, {""id"": 209714, ""name"": ""3d""}]";en;Pirates of the Caribbean: On Stranger Tides;135.413856;"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Jerry Bruckheimer Films"", ""id"": 130}, {""name"": ""Moving Picture Company (MPC)"", ""id"": 20478}]";14/05/2011;1045713802;Released;6.4;4948
225000000;"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}]";"[{""id"": 4379, ""name"": ""time travel""}, {""id"": 5455, ""name"": ""time machine""}, {""id"": 9951, ""name"": ""alien""}, {""id"": 174915, ""name"": ""fictional government agency""}, {""id"": 185668, ""name"": ""seeing the future""}, {""id"": 208756, ""name"": ""changing history""}]";en;Men in Black 3;52.035179;"[{""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""Media Magik Entertainment"", ""id"": 5627}, {""name"": ""Imagenation Abu Dhabi FZ"", ""id"": 6736}, {""name"": ""Hemisphere Media Capital"", ""id"": 9169}, {""name"": ""Parkes/MacDonald Productions"", ""id"": 11084}]";23/05/2012;624026776;Released;6.2;4160
250000000;"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]";"[{""id"": 417, ""name"": ""corruption""}, {""id"": 603, ""name"": ""elves""}, {""id"": 604, ""name"": ""dwarves""}, {""id"": 606, ""name"": ""orcs""}, {""id"": 609, ""name"": ""middle-earth (tolkien)""}, {""id"": 611, ""name"": ""hobbit""}, {""id"": 12554, ""name"": ""dragon""}, {""id"": 14643, ""name"": ""battle""}, {""id"": 167982, ""name"": ""unlikely friendship""}, {""id"": 188270, ""name"": ""epic battle""}, {""id"": 234213, ""name"": ""sword and sorcery""}]";en;The Hobbit: The Battle of the Five Armies;120.965743;"[{""name"": ""WingNut Films"", ""id"": 11}, {""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Warner Bros. Pictures"", ""id"": 174}, {""name"": ""3Foot7"", ""id"": 7413}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}]";10/12/2014;956019788;Released;7.1;4760
215000000;"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]";"[{""id"": 1872, ""name"": ""loss of father""}, {""id"": 7002, ""name"": ""vigilante""}, {""id"": 8803, ""name"": ""serum""}, {""id"": 8828, ""name"": ""marvel comic""}, {""id"": 156855, ""name"": ""scientific experiment""}, {""id"": 158124, ""name"": ""spider bite""}, {""id"": 158456, ""name"": ""masked vigilante""}, {""id"": 161184, ""name"": ""reboot""}, {""id"": 163455, ""name"": ""super powers""}, {""id"": 163561, ""name"": ""genetic engineering""}, {""id"": 171556, ""name"": ""social outcast""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}]";en;The Amazing Spider-Man;89.866276;"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Laura Ziskin Productions"", ""id"": 326}, {""name"": ""Marvel Entertainment"", ""id"": 7505}]";27/06/2012;752215857;Released;6.5;6586
200000000;"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]";"[{""id"": 4147, ""name"": ""robin hood""}, {""id"": 4393, ""name"": ""archer""}, {""id"": 10466, ""name"": ""knight""}, {""id"": 11525, ""name"": ""sherwood forest""}, {""id"": 18101, ""name"": ""bow and arrow""}, {""id"": 41406, ""name"": ""middle ages""}, {""id"": 161257, ""name"": ""medieval""}, {""id"": 186686, ""name"": ""king of england""}]";en;Robin Hood;37.668301;"[{""name"": ""Imagine Entertainment"", ""id"": 23}, {""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Scott Free Productions"", ""id"": 1645}, {""name"": ""Relativity Media"", ""id"": 7295}]";12/05/2010;310669540;Released;6.2;1398
250000000;"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]";"[{""id"": 603, ""name"": ""elves""}, {""id"": 604, ""name"": ""dwarves""}, {""id"": 606, ""name"": ""orcs""}, {""id"": 611, ""name"": ""hobbit""}, {""id"": 12554, ""name"": ""dragon""}, {""id"": 177912, ""name"": ""wizard""}, {""id"": 234213, ""name"": ""sword and sorcery""}]";en;The Hobbit: The Desolation of Smaug;94.370564;"[{""name"": ""WingNut Films"", ""id"": 11}, {""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Warner Bros. Pictures"", ""id"": 174}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}]";11/12/2013;958400000;Released;7.6;4524
180000000;"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]";"[{""id"": 392, ""name"": ""england""}, {""id"": 1461, ""name"": ""compass""}, {""id"": 1706, ""name"": ""experiment""}, {""id"": 2596, ""name"": ""lordship""}, {""id"": 6464, ""name"": ""uncle""}, {""id"": 6678, ""name"": ""polar bear""}, {""id"": 13014, ""name"": ""orphan""}, {""id"": 18165, ""name"": ""animal""}, {""id"": 223438, ""name"": ""based on young adult novel""}]";en;The Golden Compass;42.990906;"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Ingenious Film Partners"", ""id"": 289}, {""name"": ""Depth of Field"", ""id"": 1473}, {""name"": ""Scholastic Productions"", ""id"": 1938}]";04/12/2007;372234864;Released;5.8;1303
207000000;"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}]";"[{""id"": 774, ""name"": ""film business""}, {""id"": 776, ""name"": ""screenplay""}, {""id"": 837, ""name"": ""show business""}, {""id"": 886, ""name"": ""film making""}, {""id"": 887, ""name"": ""film producer""}, {""id"": 911, ""name"": ""exotic island""}, {""id"": 1299, ""name"": ""monster""}, {""id"": 1551, ""name"": ""indigenous""}, {""id"": 3799, ""name"": ""ship""}, {""id"": 12616, ""name"": ""dinosaur""}]";en;King Kong;61.22601;"[{""name"": ""WingNut Films"", ""id"": 11}, {""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Big Primate Pictures"", ""id"": 68}, {""name"": ""MFPV Film"", ""id"": 69}]";14/12/2005;550000000;Released;6.6;2337
200000000;"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 53, ""name"": ""Thriller""}]";"[{""id"": 2580, ""name"": ""shipwreck""}, {""id"": 2984, ""name"": ""iceberg""}, {""id"": 3799, ""name"": ""ship""}, {""id"": 4210, ""name"": ""panic""}, {""id"": 4388, ""name"": ""titanic""}, {""id"": 4953, ""name"": ""ocean liner""}, {""id"": 6917, ""name"": ""epic""}, {""id"": 7579, ""name"": ""rich woman - poor man""}, {""id"": 9673, ""name"": ""love""}, {""id"": 10617, ""name"": ""disaster""}, {""id"": 10703, ""name"": ""tragic love""}, {""id"": 14514, ""name"": ""class differences""}, {""id"": 156395, ""name"": ""imax""}, {""id"": 165086, ""name"": ""star crossed lovers""}, {""id"": 182615, ""name"": ""steerage""}, {""id"": 182621, ""name"": ""salvage""}, {""id"": 182625, ""name"": ""rich snob""}, {""id"": 209714, ""name"": ""3d""}, {""id"": 210184, ""name"": ""1910s""}]";en;Titanic;100.025899;"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Lightstorm Entertainment"", ""id"": 574}]";18/11/1997;1845034188;Released;7.5;7562
250000000;"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]";"[{""id"": 393, ""name"": ""civil war""}, {""id"": 6091, ""name"": ""war""}, {""id"": 8828, ""name"": ""marvel comic""}, {""id"": 9663, ""name"": ""sequel""}, {""id"": 9715, ""name"": ""superhero""}, {""id"": 9717, ""name"": ""based on comic book""}, {""id"": 156395, ""name"": ""imax""}, {""id"": 179430, ""name"": ""aftercreditsstinger""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}, {""id"": 180547, ""name"": ""marvel cinematic universe""}, {""id"": 209714, ""name"": ""3d""}]";en;Captain America: Civil War;198.372395;"[{""name"": ""Studio Babelsberg"", ""id"": 264}, {""name"": ""Marvel Studios"", ""id"": 420}, {""name"": ""Walt Disney Studios Motion Pictures"", ""id"": 3036}, {""name"": ""Vita-Ray Dutch Productions (III)"", ""id"": 84424}, {""name"": ""Deluxe Digital Studios"", ""id"": 84425}]";27/04/2016;1153304495;Released;7.1;7241
